age,workclass,education,occupation,capital.gain,capital.loss,native.country,salaries,jobsatisfaction,male,female
39,State-gov, Bachelors, Adm-clerical,2174,0,United-States,43136,0,1,NA
50,Self-emp-not-inc, Bachelors, Exec-managerial,0,0,United-States,46209,7,1,NA
38,Private, HS-grad, Handlers-cleaners,0,0,United-States,28937,6,1,NA
53,Private, 11th, Handlers-cleaners,0,0,United-States,33658,6,1,NA
28,Private, Bachelors, Prof-specialty,0,0,Cuba,34372,12,NA,1
37,Private, Masters, Exec-managerial,0,0,United-States,15745,4,NA,1
49,Private, 9th, Other-service,0,0,Jamaica,25117,7,NA,1
52,Self-emp-not-inc, HS-grad, Exec-managerial,0,0,United-States,75984,5,1,NA
31,Private, Masters, Prof-specialty,14084,0,United-States,68495,12,NA,1
42,Private, Bachelors, Exec-managerial,5178,0,United-States,60754,5,1,NA
37,Private, Some-college, Exec-managerial,0,0,United-States,65488,5,1,NA
30,State-gov, Bachelors, Prof-specialty,0,0,India,67653,12,1,NA
23,Private, Bachelors, Adm-clerical,0,0,United-States,23281,1,NA,1
32,Private, Assoc-acdm, Sales,0,0,United-States,32680,12,1,NA
40,Private, Assoc-voc, Craft-repair,0,0,NA,66355,3,1,NA
34,Private, 7th-8th, Transport-moving,0,0,Mexico,34618,15,1,NA
25,Self-emp-not-inc, HS-grad, Farming-fishing,0,0,United-States,19224,6,1,NA
32,Private, HS-grad, Machine-op-inspct,0,0,United-States,30422,9,1,NA
38,Private, 11th, Sales,0,0,United-States,31631,15,1,NA
43,Self-emp-not-inc, Masters, Exec-managerial,0,0,United-States,64695,5,NA,1
40,Private, Doctorate, Prof-specialty,0,0,United-States,59804,14,1,NA
54,Private, HS-grad, Other-service,0,0,United-States,24768,11,NA,1
35,Federal-gov, 9th, Farming-fishing,0,0,United-States,37366,7,1,NA
43,Private, 11th, Transport-moving,0,2042,United-States,25346,15,1,NA
59,Private, HS-grad, Tech-support,0,0,United-States,36190,12,NA,1
56,Local-gov, Bachelors, Tech-support,0,0,United-States,71573,12,1,NA
19,Private, HS-grad, Craft-repair,0,0,United-States,37904,2,1,NA
54,NA, Some-college,NA,0,0,South-Korea,52271,2,1,NA
39,Private, HS-grad, Exec-managerial,0,0,United-States,33921,6,1,NA
49,Private, HS-grad, Craft-repair,0,0,United-States,35841,4,1,NA
23,Local-gov, Assoc-acdm, Protective-serv,0,0,United-States,29220,11,1,NA
20,Private, Some-college, Sales,0,0,United-States,44159,13,1,NA
45,Private, Bachelors, Exec-managerial,0,1408,United-States,22162,3,1,NA
30,Federal-gov, Some-college, Adm-clerical,0,0,United-States,18536,1,1,NA
22,State-gov, Some-college, Other-service,0,0,United-States,39564,12,1,NA
48,Private, 11th, Machine-op-inspct,0,0,Puerto-Rico,40615,7,1,NA
21,Private, Some-college, Machine-op-inspct,0,0,United-States,24850,12,1,NA
19,Private, HS-grad, Adm-clerical,0,0,United-States,37337,2,NA,1
31,Private, Some-college, Sales,0,0,NA,71231,14,1,NA
48,Self-emp-not-inc, Assoc-acdm, Prof-specialty,0,0,United-States,38349,11,1,NA
31,Private, 9th, Machine-op-inspct,0,0,United-States,32438,7,1,NA
53,Self-emp-not-inc, Bachelors, Prof-specialty,0,0,United-States,28642,13,1,NA
24,Private, Bachelors, Tech-support,0,0,United-States,39308,15,1,NA
49,Private, HS-grad, Adm-clerical,0,0,United-States,31604,1,NA,1
25,Private, HS-grad, Handlers-cleaners,0,0,United-States,18755,6,1,NA
57,Federal-gov, Bachelors, Prof-specialty,0,0,United-States,73635,11,1,NA
53,Private, HS-grad, Machine-op-inspct,0,0,United-States,23094,9,1,NA
44,Private, Masters, Exec-managerial,0,0,United-States,33344,5,NA,1
41,State-gov, Assoc-voc, Craft-repair,0,0,United-States,34218,3,1,NA
29,Private, Assoc-voc, Prof-specialty,0,0,United-States,20867,10,1,NA
25,Private, Some-college, Exec-managerial,0,0,United-States,11246,6,NA,1
18,Private, HS-grad, Other-service,0,0,NA,36865,12,NA,1
47,Private, Prof-school, Prof-specialty,0,1902,Honduras,58179,10,NA,1
50,Federal-gov, Bachelors, Exec-managerial,0,0,United-States,50530,5,1,NA
47,Self-emp-inc, HS-grad, Exec-managerial,0,0,United-States,36261,4,1,NA
43,Private, Some-college, Tech-support,0,0,United-States,78184,15,1,NA
46,Private, 5th-6th, Machine-op-inspct,0,0,Mexico,30796,8,1,NA
