connections,foreign_conns,foreign_conns2,ccf,conns_new,time,ccf_old,account_age,agegroup,browserID,days,usage1,usage2,usage3,usage4,usage5,target
13,0,13,0.153846,1,14,0.181818,19,1,0,2,0,1,17.8,0.0884628,0.621289,8.61278
3,0,3,0,0,15,0,19,0,9,6,0.222222,0.444444,4,0.296296,0.481481,2.96296
1,1,1,0,0,20,0,21,2,9,9,0,0,9,0,0,1.42857
6,6,6,0.4,0,21,0.4,21,2,9,3,0.5,1,2,0.5,1,5
1,1,1,0,1,7,0,21,0,9,6,0.4,0.8,4.83333,0.127778,0.338889,2.16667
3,0,3,0.333333,1,13,1,18,0,9,1,0,0,3.2,0,0.413333,0
7,1,7,0.047619,3,8,0,20,1,0,5,0,0.25,5.5,0.0416667,0.393519,1.85185
1,0,1,0,0,21,0,21,3,9,5,0,0,18.3333,0.0133333,0,0.133333
4,0,1,1,0,19,0.916667,20,0,0,13,0,0,8.5,0.0555556,0,0.940171
1,0,1,0,1,5,0,21,1,9,1,0,0,1.5,0,0,0
1,0,1,0,0,20,0,21,0,0,16,0,0,23.6667,0,0,0.0793651
1,1,1,0,0,18,0,18,2,9,1,1,0,1,1,0,10
6,1,4,0.133333,2,10,0,20,0,0,17,0.8,0.4,5.8,0.554167,0.1,6.79167
6,1,4,0.133333,1,14,0.1,18,0,0,8,0.625,0.5,4.25,0.65625,0.708333,7.1875
5,0,5,0,1,16,0,21,1,0,30,0.0357143,0,18.1667,0.0453463,0,0.938312
3,0,0,0.333333,1,16,1,21,0,0,1,0,0,12.1667,0.1025,0.1225,1.025
2,0,0,1,0,19,1,20,1,9,19,0,0.0588235,19,0,0.0588235,1.76471
1,0,0,0,0,19,0,20,2,9,3,0.5,0.5,3,0.5,0.5,10
6,0,6,0.466667,0,17,0.466667,20,0,0,12,0.111111,0,10.6667,0.0941799,0.0294872,4.23911
2,0,2,0,0,20,0,20,0,9,1,0,0,1.75,0,0,0.9375
1,0,0,0,0,21,0,21,3,9,1,0,0,1,0,0,10
4,1,3,0,0,17,0,20,0,3,10,0.375,0.25,11,0.114286,0.107143,1.28571
1,0,1,0,0,21,0,21,2,9,6,0,0,6,0,0,1.66667
15,0,15,0.171429,2,14,0.153846,21,1,0,5,0,0.25,10.8333,0.0873737,0.189025,0.873737
5,3,5,0,0,16,0,20,0,0,10,0,0.6,7.83333,0.0628655,0.531287,7.47807
7,1,6,0,2,14,0,20,2,9,28,0.153846,0,27.3333,0.171097,0.0285714,1.71097
4,2,2,0,1,12,0,17,0,0,2,0,0,6.25,0.1625,0.1,4.58333
1,1,1,0,0,19,0,19,2,0,5,1,1,3.4,1,1,10
1,0,0,0,0,18,0,20,0,9,5,0,0,7.8,0,0,0
2,0,1,0,0,19,0,20,0,9,2,0,0,5.33333,0.194444,0.037037,2.68519
7,0,7,0.142857,4,10,0.666667,21,2,0,20,0.15,0,21.5,0.268241,0,3.02037
3,2,2,0,0,17,0,19,1,3,16,0,0.15,12.6667,0.0632576,0.156515,0.632576
1,1,1,0,0,18,0,19,0,9,5,0,0.333333,5,0,0.333333,0
1,0,0,0,0,16,0,20,0,0,27,0,0,9.2,0,0.0263158,0.394737
2,0,2,0,1,10,0,20,2,0,23,1,0.818182,12.3333,0.669634,0.337753,6.69634
2,2,2,0,1,13,0,21,2,9,2,0,0.5,2,0,0.666667,1.66667
2,0,2,1,0,18,1,19,2,9,14,0.153846,0.0769231,14,0.153846,0.0769231,1.53846
